File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-100420_223002-S708-E719,missing,11.0,2020-04-11 10:41,Secretary_Island/Crossroad
Crossroad-100420_224502-S195-E202,missing,7.0,2020-04-11 10:48,Secretary_Island/Crossroad
Crossroad-100519_230002-S70-E93,Male,23.0,2019-05-11 11:01,Secretary_Island/Crossroad
Crossroad-110320_221503-S282-E289,Female,7.0,2020-03-12 11:19,Secretary_Island/Crossroad
Crossroad-110320_221503-S307-E325,Male,18.0,2020-03-12 11:20,Secretary_Island/Crossroad
Crossroad-110320_223002-S389-E396,Male,7.0,2020-03-12 11:36,Secretary_Island/Crossroad
Crossroad-110320_231502-S704-E713,Male,9.0,2020-03-12 12:26,Secretary_Island/Crossroad
Crossroad-110320_234502-S412-E430,Male,18.0,2020-03-12 12:51,Secretary_Island/Crossroad
Crossroad-110418_221502-S810-E825,Female,15.0,2018-04-12 10:28,Secretary_Island/Crossroad
Crossroad-110418_221502-S832-E850,Male,18.0,2018-04-12 10:28,Secretary_Island/Crossroad
Crossroad-110418_223002-S195-E219,Male,24.0,2018-04-12 10:33,Secretary_Island/Crossroad
Crossroad-110418_230002-S118-E131,Male,13.0,2018-04-12 11:02,Secretary_Island/Crossroad
Crossroad-110419_221502-S357-E378,Male,21.0,2019-04-12 10:20,Secretary_Island/Crossroad
Crossroad-110419_231502-S434-E458,Male,24.0,2019-04-12 11:22,Secretary_Island/Crossroad
Crossroad-110419_231502-S843-E859,Male,16.0,2019-04-12 11:29,Secretary_Island/Crossroad
Crossroad-110419_233002-S750-E767,Male,17.0,2019-04-12 11:42,Secretary_Island/Crossroad
Crossroad-110419_234502-S152-E179,Male,27.0,2019-04-12 11:47,Secretary_Island/Crossroad
Crossroad-110420_220001-S319-E331,Female,12.0,2020-04-12 10:05,Secretary_Island/Crossroad
Crossroad-110420_223002-S9-E15,Male,6.0,2020-04-12 10:30,Secretary_Island/Crossroad
Crossroad-110519_221502-S507-E528,Male,21.0,2019-05-12 10:23,Secretary_Island/Crossroad
Crossroad-110519_221502-S536-E543,Male,7.0,2019-05-12 10:23,Secretary_Island/Crossroad
Crossroad-110519_221502-S71-E77,Male,6.0,2019-05-12 10:16,Secretary_Island/Crossroad
Crossroad-110519_231502-S477-E492,Male,15.0,2019-05-12 11:22,Secretary_Island/Crossroad
Crossroad-120320_221502-S266-E273,Male,7.0,2020-03-13 11:19,Secretary_Island/Crossroad
Crossroad-120320_223002-S301-E325,Male,24.0,2020-03-13 11:35,Secretary_Island/Crossroad
